,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iquitos,-3.7481,-73.2472,75.2,88,75,2.3,PE,1611675051
1,tautira,-17.7333,-149.15,75.2,78,75,3.44,PF,1611675051
2,hilo,19.7297,-155.09,71.6,83,90,8.61,US,1611675051
3,tarakan,3.3,117.6333,80.69,79,85,10.8,ID,1611675051
4,grindavik,63.8424,-22.4338,26.6,54,0,23.02,IS,1611675051
5,qaanaaq,77.484,-69.3632,-7.49,64,0,8.7,GL,1611675051
6,intipuca,13.1969,-88.0544,80.6,74,0,2.3,SV,1611675051
7,chokurdakh,70.6333,147.9167,-34.51,79,78,4.07,RU,1611675051
8,albany,42.6001,-73.9662,26.01,56,44,3.71,US,1611674767
9,monrovia,6.3005,-10.7969,89.6,66,75,6.91,LR,1611675052
10,muromtsevo,56.3724,75.2418,4.44,94,100,7.2,RU,1611675052
11,port elizabeth,-33.918,25.5701,68.0,88,75,20.71,ZA,1611675018
12,busselton,-33.65,115.3333,55.0,80,59,6.85,AU,1611675052
13,meulaboh,4.1363,96.1285,78.42,83,93,4.76,ID,1611675052
14,jamestown,42.097,-79.2353,34.0,100,90,11.05,US,1611674781
15,atuona,-9.8,-139.0333,78.08,77,22,17.92,PF,1611675052
16,kununurra,-15.7667,128.7333,75.2,100,100,5.75,AU,1611675052
17,taltal,-25.4,-70.4833,72.97,54,2,8.46,CL,1611675052
18,mersin,36.862,34.6509,57.2,47,75,1.14,TR,1611675052
19,ushuaia,-54.8,-68.3,41.0,75,75,32.21,AR,1611675053
20,georgetown,5.4112,100.3354,81.0,83,20,0.69,MY,1611674957
21,bandarbeyla,9.4942,50.8122,73.98,75,9,19.89,SO,1611675053
22,bosaso,11.2842,49.1816,77.0,73,0,9.22,SO,1611675053
23,alghero,40.5589,8.3181,51.8,62,9,8.05,IT,1611675053
24,quatre cocos,-20.2078,57.7625,82.4,65,20,2.3,MU,1611675053
25,guerrero negro,27.9769,-114.0611,57.16,54,25,17.74,MX,1611675053
26,alma,48.5501,-71.6491,14.0,78,97,1.14,CA,1611675008
27,yellowknife,62.456,-114.3525,-20.0,69,20,11.5,CA,1611674824
28,antalaha,-14.9003,50.2788,78.58,75,91,1.03,MG,1611675053
29,nuuk,64.1835,-51.7216,21.2,73,75,10.36,GL,1611675053
30,ponta do sol,32.6667,-17.1,62.01,74,9,4.0,PT,1611675053
31,hithadhoo,-0.6,73.0833,79.21,81,100,10.27,MV,1611675053
32,narasannapeta,18.4167,84.05,71.78,80,13,1.61,IN,1611675054
33,pacific grove,36.6177,-121.9166,44.01,87,20,6.91,US,1611674907
34,vao,-22.6667,167.4833,76.73,75,78,19.64,NC,1611675054
